Pretest Fail case 0x11, Adjust Train Fail Windows

 CH    0     1     2     3 

CE0  0xFF  0xFF  0xF0  0xF0  
CE1  0xFF  0xFF  0xF0  0xF0  
CE2  0xF0  0xF0  0xF0  0xF0  
CE3  0xF0  0xF0  0xF0  0xF0  
CE4  0xF0  0xF0  0xF0  0xF0  
CE5  0xF0  0xF0  0xF0  0xF0  
CE6  0xF0  0xF0  0xF0  0xF0  
CE7  0xF0  0xF0  0xF0  0xF0  

== Fail Pattern ==

 CH    0     1     2     3 

CE0  0xFF  0xFF  0xF0  0xF0  
CE1  0xFF  0xFF  0xF0  0xF0  
CE2  0xF0  0xF0  0xF0  0xF0  
CE3  0xF0  0xF0  0xF0  0xF0  
CE4  0xF0  0xF0  0xF0  0xF0  
CE5  0xF0  0xF0  0xF0  0xF0  
CE6  0xF0  0xF0  0xF0  0xF0  
CE7  0xF0  0xF0  0xF0  0xF0  

== Fail Address ==

 CH       0           1           2           3       

CE0  0xFFFFFFFF  0xFFFFFFFF  0x00000000  0x00000000  
CE1  0xFFFFFFFF  0xFFFFFFFF  0x00000000  0x00000000  
CE2  0x00000000  0x00000000  0x00000000  0x00000000  
CE3  0x00000000  0x00000000  0x00000000  0x00000000  
CE4  0x00000000  0x00000000  0x00000000  0x00000000  
CE5  0x00000000  0x00000000  0x00000000  0x00000000  
CE6  0x00000000  0x00000000  0x00000000  0x00000000  
CE7  0x00000000  0x00000000  0x00000000  0x00000000  
