  No.    Port.        StartTime              EndTime         SerialNumber           Bad Blocks     Pretest   CheckPretest   DL_ISP   CheckISP   CopyCompare   ClearCC   QcCheck   Result  
000001  000001  2017/11/07 09:48:31   2017/11/07 09:48:32   AA000000000000000073      00000          Pass       Fail         ----     ----         ----         ----      ----     31/1E
000002  000001  2017/11/07 09:48:43   2017/11/07 09:48:43   AA000000000000000074      00000          Pass       Fail         ----     ----         ----         ----      ----     31/1E
000003  000001  2017/11/07 09:49:58   2017/11/07 09:49:58   AA000000000000000075      00000          Pass       Fail         ----     ----         ----         ----      ----     31/1E
000004  000001  2017/11/07 09:50:01   2017/11/07 09:50:02   AA000000000000000076      00000          Pass       Fail         ----     ----         ----         ----      ----     31/1E
000005  000001  2017/11/07 09:51:26   2017/11/07 09:51:27   AA000000000000000077      00000          ----       ----         ----     ----         ----         ----      ----     Pass
000006  000001  2017/11/07 09:51:33   2017/11/07 09:51:33   AA000000000000000078      00000          Pass       Fail         ----     ----         ----         ----      ----     31/1E
000007  000001  2017/11/07 09:51:35   2017/11/07 09:51:36   AA000000000000000079      00000          Pass       Fail         ----     ----         ----         ----      ----     31/1E
000008  000001  2017/11/07 13:12:33   2017/11/07 13:12:33   AA000000000000000080      00000          ----       ----         ----     ----         ----         ----      ----     Pass
000009  000001  2017/11/07 13:12:37   2017/11/07 13:12:37   AA000000000000000081      00000          Pass       Fail         ----     ----         ----         ----      ----     31/1E
000010  000001  2017/11/07 13:12:51   2017/11/07 13:12:51   AA000000000000000082      00000          Pass       Fail         ----     ----         ----         ----      ----     31/1E
000011  000001  2017/11/07 13:14:12   2017/11/07 13:14:22   AA000000000000000083      00013          Pass       Pass         Pass     Pass         ----         ----      ----     Pass
000012  000001  2017/11/07 13:14:42   2017/11/07 13:14:51   AA000000000000000084      00000          Pass       Fail         ----     ----         ----         ----      ----     31/13
000013  000001  2017/11/07 13:15:04   2017/11/07 13:15:13   AA000000000000000085      00000          Pass       Fail         ----     ----         ----         ----      ----     31/13
